article_id,topic,word_count,sentiment_score,source_credibility,num_exclamations,has_author,capital_word_ratio,share_count,label
1,,336.0,0.428,2.78,1.0,1.0,0.289,207.0,Fake
2,Technology,318.0,0.918,3.18,6.0,0.0,0.133,332.0,Fake
3,Sports,454.0,0.491,5.31,1.0,1.0,0.073,,Real
4,Politics,297.0,-0.515,,5.0,1.0,0.23,6231.0,Fake
5,Sports,417.0,0.597,,3.0,0.0,0.199,3627.0,Fake
6,Technology,392.0,,5.32,2.0,0.0,0.458,306.0,Fake
7,Health,244.0,0.991,4.61,2.0,0.0,0.247,1133.0,Fake
8,Politics,701.0,0.367,6.84,0.0,1.0,0.129,1743.0,Real
9,Science,422.0,-0.076,8.08,1.0,1.0,0.041,304.0,Real
10,Politics,605.0,-0.316,6.55,3.0,1.0,0.098,144.0,Real
11,Sports,111.0,0.254,4.55,10.0,1.0,0.302,4052.0,Fake
12,Entertainment,562.0,0.033,8.01,1.0,1.0,0.146,322.0,Real
13,Health,691.0,,,0.0,0.0,0.028,,Real
14,,356.0,0.216,3.36,6.0,1.0,0.227,661.0,Fake
15,Economy,257.0,0.21,0.82,9.0,0.0,0.252,12.0,Fake
16,Health,165.0,0.262,3.15,3.0,0.0,0.396,4116.0,Fake
17,Science,617.0,-0.116,6.98,1.0,0.0,0.146,1051.0,Real
18,Technology,571.0,0.023,6.24,9.0,0.0,0.391,1109.0,Fake
19,,518.0,0.112,9.02,0.0,1.0,0.031,2087.0,Real
20,Sports,204.0,-0.18,1.98,7.0,1.0,0.149,642.0,Fake
21,Politics,356.0,-0.676,4.8,,1.0,0.45,693.0,Fake
22,Technology,382.0,-0.022,1.78,5.0,1.0,0.275,,Fake
23,Health,,-0.342,2.75,6.0,0.0,0.193,1984.0,Fake
24,Sports,177.0,-0.527,3.3,2.0,1.0,0.19,1343.0,Fake
25,Sports,,0.363,6.81,,1.0,0.003,67.0,Real
26,Politics,360.0,-0.344,4.83,0.0,1.0,0.08,850.0,Real
27,Entertainment,442.0,0.344,7.05,0.0,1.0,0.161,330.0,Real
28,Politics,416.0,-0.551,2.59,4.0,1.0,0.397,991.0,Fake
29,,108.0,-0.769,,3.0,0.0,0.29,9951.0,Fake
30,Politics,427.0,0.381,,1.0,1.0,0.0,444.0,Real
31,Politics,610.0,0.212,4.06,0.0,0.0,0.093,,Real
32,Politics,580.0,0.332,8.03,0.0,1.0,0.104,227.0,Real
33,Technology,377.0,-0.831,3.76,5.0,0.0,0.417,1344.0,Fake
34,Politics,269.0,0.173,3.72,0.0,,0.161,1408.0,Fake
35,Politics,603.0,0.371,5.14,1.0,1.0,0.052,1263.0,Real
36,Politics,363.0,0.768,4.37,4.0,0.0,0.237,,Fake
37,Economy,656.0,0.035,5.93,0.0,1.0,0.047,190.0,Real
38,Technology,115.0,-0.662,4.15,2.0,0.0,0.367,433.0,Fake
39,Politics,371.0,0.352,6.34,0.0,1.0,0.04,1346.0,Real
40,Economy,598.0,-0.272,6.71,0.0,,0.134,1181.0,Real
41,Technology,636.0,0.136,6.9,,1.0,0.017,1611.0,Real
42,Politics,594.0,0.072,7.01,1.0,0.0,0.072,304.0,Real
43,Technology,288.0,-0.65,4.03,6.0,1.0,0.25,959.0,Fake
44,Entertainment,465.0,-0.361,,2.0,1.0,,1071.0,Real
45,Sports,489.0,-0.216,4.41,0.0,1.0,0.1,133.0,Real
46,Sports,391.0,0.185,6.67,0.0,0.0,,631.0,Real
47,Health,180.0,-0.469,4.45,4.0,0.0,0.067,2117.0,Fake
48,Science,575.0,-0.081,5.62,0.0,1.0,0.104,165.0,Real
49,Technology,591.0,0.401,9.96,0.0,1.0,0.106,365.0,Real
50,Health,157.0,0.676,4.64,7.0,0.0,0.301,56.0,Fake
51,Technology,,0.309,8.13,0.0,1.0,0.026,366.0,Real
52,Health,477.0,0.069,6.16,4.0,0.0,0.24,291.0,Fake
53,Politics,340.0,0.67,3.17,5.0,0.0,0.311,4269.0,Fake
54,Economy,,-0.056,7.74,2.0,1.0,0.161,91.0,Real
55,Economy,396.0,0.969,0.44,8.0,0.0,0.308,419.0,Fake
56,Sports,459.0,0.709,4.72,3.0,1.0,0.226,1018.0,Fake
57,Health,505.0,0.174,4.2,1.0,1.0,0.19,522.0,Fake
58,Entertainment,605.0,-0.373,5.67,2.0,0.0,0.014,,Real
59,Economy,646.0,-0.042,5.69,0.0,,0.074,2132.0,Real
60,Politics,690.0,0.127,6.85,0.0,1.0,0.041,380.0,Real
61,Health,50.0,-0.549,3.62,6.0,0.0,,1333.0,Fake
62,Entertainment,748.0,0.327,6.43,1.0,1.0,0.0,1112.0,Real
63,Science,735.0,0.179,5.71,0.0,,0.071,135.0,Real
64,Entertainment,222.0,0.927,4.42,4.0,0.0,0.349,2571.0,Fake
65,Entertainment,98.0,0.88,3.43,4.0,1.0,0.197,199.0,Fake
66,Politics,902.0,-0.434,9.07,1.0,1.0,0.0,535.0,Real
67,Health,223.0,0.524,,6.0,0.0,0.281,1928.0,Fake
68,Politics,569.0,0.005,7.22,2.0,0.0,0.169,23.0,Real
69,,543.0,0.355,7.74,0.0,1.0,0.0,369.0,Real
70,Entertainment,518.0,-0.038,7.77,1.0,1.0,0.0,1575.0,Real
71,,198.0,0.834,0.22,7.0,0.0,,1352.0,Fake
72,Politics,542.0,,6.83,1.0,0.0,0.102,473.0,Real
73,Health,,-0.38,6.75,0.0,1.0,0.2,476.0,Real
74,Politics,83.0,-0.662,3.8,3.0,0.0,0.192,536.0,Fake
75,Economy,734.0,-0.248,7.02,0.0,1.0,0.041,298.0,Real
76,Entertainment,543.0,-0.095,,0.0,1.0,0.08,13.0,Real
77,Sports,401.0,0.894,2.63,,0.0,0.211,862.0,Fake
78,Economy,347.0,-0.242,4.66,2.0,1.0,0.27,10490.0,Fake
79,Politics,,0.071,8.12,,1.0,0.073,,Real
80,,232.0,-0.332,3.67,7.0,1.0,0.252,2344.0,Fake
81,Technology,705.0,-0.228,4.38,4.0,1.0,0.255,,Fake
82,,692.0,0.392,,1.0,0.0,0.062,49.0,Real
83,Entertainment,322.0,-0.962,4.94,4.0,0.0,0.215,4072.0,Fake
84,Sports,346.0,-0.386,5.14,3.0,1.0,0.324,2083.0,Fake
85,Politics,,-0.255,9.07,1.0,1.0,0.012,227.0,Real
86,Politics,598.0,-0.466,7.66,2.0,1.0,0.088,698.0,Real
87,Entertainment,,-0.89,6.68,8.0,0.0,0.402,1611.0,Fake
88,Politics,264.0,-0.608,3.74,5.0,0.0,0.245,1316.0,Fake
89,Sports,498.0,-0.247,9.27,1.0,1.0,0.14,672.0,Real
90,Technology,398.0,-0.544,3.38,5.0,0.0,0.321,338.0,Fake
91,Entertainment,633.0,-0.386,,2.0,1.0,0.103,463.0,Real
92,Health,549.0,0.178,7.42,2.0,0.0,0.116,627.0,Real
93,Politics,334.0,-0.289,2.7,8.0,0.0,0.306,3785.0,Fake
94,,339.0,-0.441,4.36,2.0,1.0,0.355,805.0,Fake
